task_id,lean_root,rel_path,thm_name,category,nesting_depth,transitive_dep_count,gt_proof_length,env,request_id,status,pr_url,api_url,failure_reason
4,ArkLib,ArkLib/Data/Nat/Bitwise.lean,Nat.getBit_repr,Applied verif.,2,24,5165,prod,4d22490b-8be1-4280-9e31-ca07f1779132,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/38,https://alephprover.logicalintelligence.com/requests/4d22490b-8be1-4280-9e31-ca07f1779132,
5,ArkLib,ArkLib/Data/Nat/Bitwise.lean,Nat.getBit_of_binaryFinMapToNat,Applied verif.,4,104,3646,prod,9f734ea0-ee3a-43ea-b07b-0e263f2f990d,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/39,https://alephprover.logicalintelligence.com/requests/9f734ea0-ee3a-43ea-b07b-0e263f2f990d,
14,ArkLib,ArkLib/Data/Nat/Bitwise.lean,Nat.getLowBits_succ,Applied verif.,4,103,2886,prod,7e2b1e49-3966-4e6e-b16d-4b5519a0aee7,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/37,https://alephprover.logicalintelligence.com/requests/7e2b1e49-3966-4e6e-b16d-4b5519a0aee7,
15,ArkLib,ArkLib/Data/FieldTheory/BinaryField/Tower/Prelude.lean,rsum_eq_t1_square_aux,Applied verif.,2,35,4208,prod,2ae7a646-3599-4e67-99e5-b9917b3ee043,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/13,https://alephprover.logicalintelligence.com/requests/2ae7a646-3599-4e67-99e5-b9917b3ee043,
29,ArkLib,ArkLib/Data/Vector/Basic.lean,Vector.foldl_succ,Applied verif.,1,29,1892,prod,25b46e66-0a42-4f5c-8011-479bf4bb7e1e,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/23,https://alephprover.logicalintelligence.com/requests/25b46e66-0a42-4f5c-8011-479bf4bb7e1e,
121,clean,Clean/Table/Inductive.lean,InductiveTable.table_soundness_aux,Applied verif.,9,251,6848,dev,d199a8e8-0e78-428d-ae17-422cef6e6c22,failed,,https://prover-dev.logicalintelligence.com/requests/d199a8e8-0e78-428d-ae17-422cef6e6c22,prove_timeout (prover could not find proof)
122,clean,Clean/Circomlib/Gates.lean,Circomlib.MultiAND.soundness,Applied verif.,9,134,5994,dev,a596556c-b32a-4717-9eb6-b1a50ed0bbe6,failed,,https://prover-dev.logicalintelligence.com/requests/a596556c-b32a-4717-9eb6-b1a50ed0bbe6,prove_timeout (prover could not find proof)
123,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistent_iff_all_single_address,Applied verif.,3,44,2210,dev,78532ec0-68c3-40ba-b3e5-497479a96d4b,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/57,https://prover-dev.logicalintelligence.com/requests/78532ec0-68c3-40ba-b3e5-497479a96d4b,
124,clean,Clean/Gadgets/Addition32/Theorems.lean,Gadgets.Addition32.Theorems.add32_soundness,Applied verif.,3,34,3421,dev,8eb5fa41-b027-4fba-9e34-9005b06ded1e,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/58,https://prover-dev.logicalintelligence.com/requests/8eb5fa41-b027-4fba-9e34-9005b06ded1e,
125,clean,Clean/Gadgets/ByteDecomposition/Theorems.lean,Gadgets.ByteDecomposition.Theorems.soundness,Applied verif.,3,38,3524,dev,0b609908-ba72-407c-bb18-7ab9232ee232,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/67,https://prover-dev.logicalintelligence.com/requests/0b609908-ba72-407c-bb18-7ab9232ee232,
126,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistentOffline_implies_single_address,Applied verif.,4,34,3602,dev,3bf9ca67-ce06-47eb-ad71-39205ceeb4b3,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/66,https://prover-dev.logicalintelligence.com/requests/3bf9ca67-ce06-47eb-ad71-39205ceeb4b3,
127,clean,Clean/Circomlib/Gates.lean,Circomlib.MultiAND.soundness_two,Applied verif.,9,99,1169,dev,c519d00e-fdd9-47d9-8bd0-a1956c9afb5e,running,https://github.com/logiq-ai/verisoftbench-repos/pull/82,https://prover-dev.logicalintelligence.com/requests/c519d00e-fdd9-47d9-8bd0-a1956c9afb5e,
128,clean,Clean/Gadgets/ByteDecomposition/ByteDecomposition.lean,Gadgets.ByteDecomposition.soundness,Applied verif.,7,119,2611,dev,243fd28d-3c33-4913-937b-e67590f4be56,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/89,https://prover-dev.logicalintelligence.com/requests/243fd28d-3c33-4913-937b-e67590f4be56,
129,clean,Clean/Gadgets/Or/Or8.lean,Gadgets.Or.Or8.completeness,Applied verif.,7,117,1608,dev,e2560247-9666-4fcc-92f5-773661d58c41,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/86,https://prover-dev.logicalintelligence.com/requests/e2560247-9666-4fcc-92f5-773661d58c41,
131,clean,Clean/Utils/SourceSinkPath.lean,Utils.StateTransition.size_removeCycle_lt,Applied verif.,2,25,1398,dev,1f7af233-41a7-46fb-a83a-696e7fcb0c42,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/83,https://prover-dev.logicalintelligence.com/requests/1f7af233-41a7-46fb-a83a-696e7fcb0c42,
132,clean,Clean/Types/U32.lean,U32.ByteVector.bitwise_componentwise,Applied verif.,7,66,1264,dev,d7f31c26-55ad-4e44-bb38-352fdb382f14,failed,,https://prover-dev.logicalintelligence.com/requests/d7f31c26-55ad-4e44-bb38-352fdb382f14,prove_timeout (prover could not find proof)
